Date,low_tension_domestic,oil_price_usd_barrel,lng_price_usd_MMBtu
2016-03-01,19.5,37.54636363636364,8.01
2016-02-01,19.5,30.323,7.99
2016-01-01,19.5,31.683157894736844,8.46
2015-12-01,20.35,37.18863636363636,10.15
2015-11-01,20.35,42.4435,9.4
2015-10-01,20.35,46.22363636363636,10.37
2015-09-01,22.41,45.47952380952381,10.01
2015-08-01,22.41,42.86761904761905,10.16
2015-07-01,22.41,50.90090909090909,9.32
2015-06-01,20.87,59.819545454545455,8.79
2015-05-01,20.87,59.265,9.04
2015-04-01,20.87,54.45285714285714,11.02
2015-03-01,23.29,47.82363636363636,13.05
2015-02-01,23.29,50.58421052631579,14.69
2015-01-01,23.29,47.219,15.5
2014-12-01,25.28,59.29045454545455,16.58
2014-11-01,25.28,75.78947368421052,16.41
2014-10-01,25.28,84.39695652173914,15.23
